ID,ProductCode,Name,Description,UnitPrice,TaxRate,StockQty,createdAt,createdBy,modifiedAt,modifiedBy
660e8400-e29b-41d4-a716-446655440006,PROD006,Apple iPhone 15,Apple iPhone 15 128GB Smartphone,79900.00,18.00,20,2026-05-15T11:25:00Z,admin,2026-05-15T11:25:00Z,admin
660e8400-e29b-41d4-a716-446655440007,PROD007,MacBook Air M2,Apple MacBook Air M2 13 Inch Laptop,114900.00,18.00,15,2026-05-15T11:30:00Z,admin,2026-05-15T11:30:00Z,admin
660e8400-e29b-41d4-a716-446655440008,PROD008,Apple Watch Series 9,Smart Fitness Watch with GPS,41900.00,18.00,35,2026-05-15T11:35:00Z,admin,2026-05-15T11:35:00Z,admin
660e8400-e29b-41d4-a716-446655440009,PROD009,Sony WH-1000XM5,Noise Cancelling Wireless Headphones,29990.00,18.00,50,2026-05-15T11:40:00Z,admin,2026-05-15T11:40:00Z,admin
660e8400-e29b-41d4-a716-446655440010,PROD010,Logitech MX Master 3S,Wireless Productivity Mouse,10995.00,18.00,75,2026-05-15T11:45:00Z,admin,2026-05-15T11:45:00Z,admin
660e8400-e29b-41d4-a716-446655440011,PROD011,HP LaserJet Pro,Wireless Monochrome Laser Printer,18999.00,18.00,18,2026-05-15T11:50:00Z,admin,2026-05-15T11:50:00Z,admin
660e8400-e29b-41d4-a716-446655440012,PROD012,Canon EOS 1500D,DSLR Camera with 18-55mm Lens,42999.00,18.00,12,2026-05-15T11:55:00Z,admin,2026-05-15T11:55:00Z,admin
660e8400-e29b-41d4-a716-446655440013,PROD013,OnePlus Pad,Android Tablet with 11 Inch Display,37999.00,18.00,28,2026-05-15T12:00:00Z,admin,2026-05-15T12:00:00Z,admin
660e8400-e29b-41d4-a716-446655440014,PROD014,Samsung 55 Inch TV,Samsung Crystal 4K UHD Smart TV,58990.00,18.00,10,2026-05-15T12:05:00Z,admin,2026-05-15T12:05:00Z,admin
660e8400-e29b-41d4-a716-446655440015,PROD015,JBL Flip 6,Portable Bluetooth Speaker,11999.00,18.00,65,2026-05-15T12:10:00Z,admin,2026-05-15T12:10:00Z,admin
660e8400-e29b-41d4-a716-446655440016,PROD016,ASUS ROG Laptop,Gaming Laptop with RTX Graphics,145000.00,18.00,8,2026-05-15T12:15:00Z,admin,2026-05-15T12:15:00Z,admin
660e8400-e29b-41d4-a716-446655440017,PROD017,Boat Airdopes 141,True Wireless Earbuds,1499.00,12.00,150,2026-05-15T12:20:00Z,admin,2026-05-15T12:20:00Z,admin
660e8400-e29b-41d4-a716-446655440018,PROD018,Dell UltraSharp Monitor,32 Inch 4K Professional Monitor,74999.00,18.00,14,2026-05-15T12:25:00Z,admin,2026-05-15T12:25:00Z,admin
660e8400-e29b-41d4-a716-446655440019,PROD019,Realme Narzo 70,5G Android Smartphone,17999.00,18.00,55,2026-05-15T12:30:00Z,admin,2026-05-15T12:30:00Z,admin
660e8400-e29b-41d4-a716-446655440020,PROD020,Acer Aspire 7,Performance Laptop with Ryzen Processor,62999.00,18.00,22,2026-05-15T12:35:00Z,admin,2026-05-15T12:35:00Z,admin
